kpi_id,kpi_name,family,definition,formula,owner,unit,direction,amber_tolerance,target,target_note,is_scorecard,dashboard_page
K01,Applications started,growth,Applicants who started sign-up in the app in the month,count of applicants whose signup_started event falls in the month (Malaysia time),Head of Onboarding,count,higher,0.100000,3000.000000,FY2026 monthly average,False,Growth
K02,New customers,growth,Accounts opened in the month,count of customers by the month their account opened,Head of Growth,count,higher,0.100000,,Monthly plan in plan_targets.csv,True,Executive;Growth
K03,Onboarding conversion,onboarding,Share of the month's applicants who went on to open an account,"applicants who reached account_opened / applicants who started, by start month",Head of Onboarding,pct,higher,0.050000,0.550000,,False,Growth
K04,eKYC completion rate,onboarding,Share of applicants who scanned their MyKad and then passed the selfie liveness check,"liveness passed / MyKad scanned, by start month",Head of Onboarding,pct,higher,0.050000,0.750000,,False,Growth
K05,Cost per new customer (CAC),growth,Acquisition marketing spend per account opened,acquisition spend / new customers; blank while an invoice is missing,Head of Growth,rm,lower,0.100000,25.000000,,False,Growth
K06,Month-3 active rate,growth,Share of customers who opened three months earlier and made a transaction themselves this month,customers active in their third month after opening / customers in that cohort,Head of Growth,pct,higher,0.050000,0.650000,,False,Growth;Engagement
K07,Monthly active customers,engagement,Customers who made at least one transaction themselves in the month,"count of customers with a transfer out, bill payment, card purchase or FD placement",Head of Product,count,higher,0.050000,,Monthly plan in plan_targets.csv,True,Executive;Engagement
K08,Active customer rate,engagement,Share of customers with an open account who were active in the month,monthly active customers / customers with an open account at month end,Head of Product,pct,higher,0.050000,0.650000,,False,Engagement
K09,Transactions per active customer,engagement,"Transactions active customers made themselves, per customer",customer-initiated transactions / monthly active customers,Head of Product,number,higher,0.100000,9.000000,,False,Engagement
K10,Card activation within 30 days,cards,Share of the month's new customers with a debit card who activated it within 30 days of opening,cards activated within 30 days / new customers issued a card,Head of Cards,pct,higher,0.050000,0.650000,,False,Engagement
K11,Debit card spend,cards,Card purchases settled and posted to the ledger in the month,sum of card purchase postings (RM),Head of Cards,rm,higher,0.100000,15000000.000000,FY2026 monthly average,False,Engagement
K12,Card approval rate,cards,Share of card authorisation attempts approved,approved authorisations (response 00) / all authorisations,Head of Cards,pct,higher,0.010000,0.950000,,False,Engagement
K13,Total deposits,deposits,Savings (CASA) and fixed deposit balances at month end,sum of month-end deposit balances (RM),Treasurer,rm,higher,0.050000,,Monthly plan in plan_targets.csv,True,Executive;Deposits
K14,CASA ratio,deposits,Share of deposits held in current and savings accounts rather than fixed deposits,CASA balance / total deposits at month end,Treasurer,pct,higher,0.050000,,Monthly plan in plan_targets.csv,True,Executive;Deposits
K15,Cost of funds,deposits,Annualised interest cost of deposits,interest accrued on average balances / average deposits x 365 / days in month,Treasurer,pct,lower,0.050000,,Monthly plan in plan_targets.csv,True,Executive;Deposits
K16,FD retention at maturity,deposits,Share of matured fixed deposit money still with the bank 30 days after maturity,"(money rolled over + money paid to savings and not transferred out within 30 days) / money matured, by maturity month",Treasurer,pct,higher,0.050000,0.750000,,False,Deposits
K17,Gross loans,credit,Personal financing principal outstanding at month end,sum of outstanding principal on active loans (RM),Head of Credit Risk,rm,higher,0.100000,45000000.000000,By Aug 2026,False,Credit
K18,Financing disbursed,credit,Personal financing paid out in the month,sum of principal disbursed (RM),Head of Credit Risk,rm,higher,0.100000,3000000.000000,FY2026 monthly average,False,Credit
K19,PAR30,credit,Share of the loan book 30 or more days past due,outstanding principal on loans 30+ days past due / gross loans,Head of Credit Risk,pct,lower,0.100000,,Monthly plan in plan_targets.csv,True,Executive;Credit
K20,Gross impaired loans (GIL) ratio,credit,"Share of the loan book impaired, meaning more than 90 days past due",outstanding principal on loans more than 90 days past due / gross loans,Head of Credit Risk,pct,lower,0.100000,0.020000,,False,Credit
K21,Early delinquency at month 6,credit,Share of the loans disbursed six months earlier that have ever been 30+ days past due,loans ever 30+ days past due by month on book 6 / loans in that vintage,Head of Credit Risk,pct,lower,0.100000,0.050000,,False,Credit
K22,Net interest income,finance,Interest earned on performing financing less interest accrued on deposits,"loan interest income - deposit interest expense (RM, accrual basis)",CFO,rm,higher,0.100000,200000.000000,FY2026 monthly average,False,Executive
