kpi_id,kpi_name,family,definition,formula,owner,unit,direction,amber_tolerance,target,target_note,is_scorecard,stakeholder_questions,source_table,source_column,dashboard_page
K01,Applications started,growth,Applicants who started sign-up in the app in the month,count of applicants whose signup_started event falls in the month (Malaysia time),Head of Onboarding,count,higher,0.1,3000,FY2026 monthly average,false,Q06;Q07,kpi.growth_monthly,applications_started,Growth
K02,New customers,growth,Accounts opened in the month,count of customers by the month their account opened,Head of Growth,count,higher,0.1,,Monthly plan in plan_targets.csv,true,Q01;Q06,kpi.growth_monthly,new_customers,Executive;Growth
K03,Onboarding conversion,onboarding,Share of the month's applicants who went on to open an account,"applicants who reached account_opened / applicants who started, by start month",Head of Onboarding,pct,higher,0.05,0.55,,false,Q07;Q08,kpi.growth_monthly,onboarding_conversion,Growth
K04,eKYC completion rate,onboarding,Share of applicants who scanned their MyKad and then passed the selfie liveness check,"liveness passed / MyKad scanned, by start month",Head of Onboarding,pct,higher,0.05,0.75,,false,Q07;Q08,kpi.growth_monthly,ekyc_completion_rate,Growth
K05,Cost per new customer (CAC),growth,Acquisition marketing spend per account opened,acquisition spend / new customers; blank while an invoice is missing,Head of Growth,rm,lower,0.1,25,,false,Q05;Q24,kpi.growth_monthly,cac,Growth
K06,Month-3 active rate,growth,Share of customers who opened three months earlier and made a transaction themselves this month,customers active in their third month after opening / customers in that cohort,Head of Growth,pct,higher,0.05,0.65,,false,Q04;Q05;Q11,kpi.growth_monthly,m3_active_rate,Growth;Engagement
K07,Monthly active customers,engagement,Customers who made at least one transaction themselves in the month,"count of customers with a transfer out, bill payment, card purchase or FD placement",Head of Product,count,higher,0.05,,Monthly plan in plan_targets.csv,true,Q01;Q10,kpi.engagement_monthly,monthly_active_customers,Executive;Engagement
K08,Active customer rate,engagement,Share of customers with an open account who were active in the month,monthly active customers / customers with an open account at month end,Head of Product,pct,higher,0.05,0.65,,false,Q10,kpi.engagement_monthly,active_customer_rate,Engagement
K09,Transactions per active customer,engagement,"Transactions active customers made themselves, per customer",customer-initiated transactions / monthly active customers,Head of Product,number,higher,0.1,9,,false,Q10;Q12,kpi.engagement_monthly,txns_per_active_customer,Engagement
K10,Card activation within 30 days,cards,Share of the month's new customers with a debit card who activated it within 30 days of opening,cards activated within 30 days / new customers issued a card,Head of Cards,pct,higher,0.05,0.65,,false,Q11;Q17,kpi.cards_monthly,card_activation_30d,Engagement
K11,Debit card spend,cards,Card purchases settled and posted to the ledger in the month,sum of card purchase postings (RM),Head of Cards,rm,higher,0.1,15000000,FY2026 monthly average,false,Q16,kpi.cards_monthly,card_spend,Engagement
K12,Card approval rate,cards,Share of card authorisation attempts approved,approved authorisations (response 00) / all authorisations,Head of Cards,pct,higher,0.01,0.95,,false,Q18,kpi.cards_monthly,card_approval_rate,Engagement
K13,Total deposits,deposits,Savings (CASA) and fixed deposit balances at month end,sum of month-end deposit balances (RM),Treasurer,rm,higher,0.05,,Monthly plan in plan_targets.csv,true,Q01;Q13,kpi.deposits_monthly,total_deposits,Executive;Deposits
K14,CASA ratio,deposits,Share of deposits held in current and savings accounts rather than fixed deposits,CASA balance / total deposits at month end,Treasurer,pct,higher,0.05,,Monthly plan in plan_targets.csv,true,Q01;Q13;Q14,kpi.deposits_monthly,casa_ratio,Executive;Deposits
K15,Cost of funds,deposits,Annualised interest cost of deposits,interest accrued on average balances / average deposits x 365 / days in month,Treasurer,pct,lower,0.05,,Monthly plan in plan_targets.csv,true,Q03;Q14;Q23,kpi.deposits_monthly,cost_of_funds,Executive;Deposits
K16,FD retention at maturity,deposits,Share of matured fixed deposit money still with the bank 30 days after maturity,"(money rolled over + money paid to savings and not transferred out within 30 days) / money matured, by maturity month",Treasurer,pct,higher,0.05,0.75,,false,Q15,kpi.fd_maturity_outcomes,retained_30d / matured_amount,Deposits
K17,Gross loans,credit,Personal financing principal outstanding at month end,sum of outstanding principal on active loans (RM),Head of Credit Risk,rm,higher,0.1,45000000,By Aug 2026,false,Q19,kpi.credit_monthly,gross_loans,Credit
K18,Financing disbursed,credit,Personal financing paid out in the month,sum of principal disbursed (RM),Head of Credit Risk,rm,higher,0.1,3000000,FY2026 monthly average,false,Q19,kpi.credit_monthly,amount_disbursed,Credit
K19,PAR30,credit,Share of the loan book 30 or more days past due,outstanding principal on loans 30+ days past due / gross loans,Head of Credit Risk,pct,lower,0.1,,Monthly plan in plan_targets.csv,true,Q01;Q20;Q21,kpi.credit_monthly,par30,Executive;Credit
K20,Gross impaired loans (GIL) ratio,credit,"Share of the loan book impaired, meaning more than 90 days past due",outstanding principal on loans more than 90 days past due / gross loans,Head of Credit Risk,pct,lower,0.1,0.02,,false,Q21,kpi.credit_monthly,gil_ratio,Credit
K21,Early delinquency at month 6,credit,Share of the loans disbursed six months earlier that have ever been 30+ days past due,loans ever 30+ days past due by month on book 6 / loans in that vintage,Head of Credit Risk,pct,lower,0.1,0.05,,false,Q19;Q20,kpi.credit_monthly,early_delinquency_mob6,Credit
K22,Net interest income,finance,Interest earned on performing financing less interest accrued on deposits,"loan interest income - deposit interest expense (RM, accrual basis)",CFO,rm,higher,0.1,200000,FY2026 monthly average,false,Q03;Q23,kpi.finance_monthly,net_interest_income,Executive
